No.;Time;Source;Destination;Protocol;Length;Info;;;time 1;time 2;Delay;Delay 1;Delay 2;jitter 
585;4.954157;192.168.1.7;52.109.8.21;TCP;54;62861  >  443 [ACK] Seq=372 Ack=5933 Win=66048 Len=0;;;4.954157;4.966848;0.012691;0.012246;0.000445;-0.011801
586;4.966848;192.168.1.7;52.109.8.21;TLSv1.2;141;Application Data;;;4.966848;4.967293;0.000445;0.000268;0.000177;-9.1E-05
587;4.967293;192.168.1.7;52.109.8.21;TLSv1.2;483;Application Data;;;4.967293;4.96747;0.000177;-0.225319;0.225496;0.450815
588;4.96747;192.168.1.7;52.109.8.21;TLSv1.2;92;Application Data;;;4.96747;5.192966;0.225496;0.225215;0.000281;-0.224934
589;5.192966;52.109.8.21;192.168.1.7;TCP;56;443  >  62861 [ACK] Seq=5933 Ack=926 Win=524544 Len=0;;;5.192966;5.193247;0.000281;4.1E-05;0.00024;0.000199
590;5.193247;52.109.8.21;192.168.1.7;TLSv1.2;92;Application Data;;;5.193247;5.193487;0.00024;0.000179;6.1E-05;-0.000118
591;5.193487;52.109.8.21;192.168.1.7;TLSv1.2;306;Application Data;;;5.193487;5.193548;6.1E-05;-3.456662;3.456723;6.913385
592;5.193548;192.168.1.7;52.109.8.21;TCP;54;62861  >  443 [ACK] Seq=926 Ack=6223 Win=65792 Len=0;;;5.193548;8.650271;3.456723;3.423571;0.033152;-3.390419
2079;8.650271;192.168.1.7;74.125.130.94;TCP;55;62851  >  80 [ACK] Seq=1 Ack=1 Win=251 Len=1;;;8.650271;8.683423;0.033152;-0.036837;0.069989;0.106826
2168;8.683423;192.168.1.7;74.125.130.94;TCP;55;62852  >  80 [ACK] Seq=1 Ack=1 Win=254 Len=1;;;8.683423;8.753412;0.069989;0.064763;0.005226;-0.059537
2410;8.753412;74.125.130.94;192.168.1.7;TCP;66;80  >  62851 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;;8.753412;8.758638;0.005226;-0.931783;0.937009;1.868792
2439;8.758638;74.125.130.94;192.168.1.7;TCP;66;80  >  62852 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2;;;8.758638;9.695647;0.937009;0.891857;0.045152;-0.846705
2541;9.695647;157.240.218.60;192.168.1.7;TLSv1.2;303;Application Data;;;9.695647;9.740799;0.045152;-0.653286;0.698438;1.351724
2542;9.740799;192.168.1.7;157.240.218.60;TCP;54;62691  >  443 [ACK] Seq=1 Ack=250 Win=257 Len=0;;;9.740799;10.439237;0.698438;0.676522;0.021916;-0.654606
2554;10.439237;192.168.1.7;35.197.154.200;TCP;55;[TCP Keep-Alive] 62843  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1;;;10.439237;10.461153;0.021916;-4.167175;4.189091;8.356266
2555;10.461153;35.197.154.200;192.168.1.7;TCP;66;[TCP Keep-Alive ACK] 443  >  62843 [ACK] Seq=1 Ack=2 Win=139 Len=0 SLE=1 SRE=2;;;10.461153;14.650244;4.189091;4.167492;0.021599;-4.145893
2556;14.650244;192.168.1.7;172.253.118.94;TLSv1.2;93;Application Data;;;14.650244;14.671843;0.021599;-0.027878;0.049477;0.077355
2557;14.671843;172.253.118.94;192.168.1.7;TLSv1.2;93;Application Data;;;14.671843;14.72132;0.049477;-3.377939;3.427416;6.805355
2558;14.72132;192.168.1.7;172.253.118.94;TCP;54;62839  >  443 [ACK] Seq=40 Ack=40 Win=253 Len=0;;;14.72132;18.148736;3.427416;3.203167;0.224249;-2.978918
2569;18.148736;192.168.1.7;13.89.179.10;TCP;54;62830  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1020 Len=0;;;18.148736;18.372985;0.224249;0.224065;0.000184;-0.223881
2570;18.372985;13.89.179.10;192.168.1.7;TCP;54;443  >  62830 [FIN, ACK] Seq=1 Ack=2 Win=2047 Len=0;;;18.372985;18.373169;0.000184;-0.387382;0.387566;0.774948
2571;18.373169;192.168.1.7;13.89.179.10;TCP;54;62830  >  443 [ACK] Seq=2 Ack=2 Win=1020 Len=0;;;18.373169;18.760735;0.387566;0.387566;0;-0.387566
2572;18.760735;192.168.1.7;74.125.130.94;TCP;55;[TCP Keep-Alive] 62851  >  80 [ACK] Seq=1 Ack=1 Win=251 Len=1;;;18.760735;18.760735;0;-0.019584;0.019584;0.039168
2573;18.760735;192.168.1.7;74.125.130.94;TCP;55;[TCP Keep-Alive] 62852  >  80 [ACK] Seq=1 Ack=1 Win=254 Len=1;;;18.760735;18.780319;0.019584;0.016549;0.003035;-0.013514
2574;18.780319;74.125.130.94;192.168.1.7;TCP;66;[TCP Keep-Alive ACK] 80  >  62851 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2;;;18.780319;18.783354;0.003035;-1.675597;1.678632;3.354229
2575;18.783354;74.125.130.94;192.168.1.7;TCP;66;[TCP Keep-Alive ACK] 80  >  62852 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2;;;18.783354;20.461986;1.678632;1.643927;0.034705;-1.609222
3073;20.461986;192.168.1.7;35.197.154.200;TCP;55;[TCP Keep-Alive] 62843  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1;;;20.461986;20.496691;0.034705;-0.52967;0.564375;1.094045
3074;20.496691;35.197.154.200;192.168.1.7;TCP;66;[TCP Keep-Alive ACK] 443  >  62843 [ACK] Seq=1 Ack=2 Win=139 Len=0 SLE=1 SRE=2;;;20.496691;21.061066;0.564375;0.542012;0.022363;-0.519649
3083;21.061066;192.168.1.7;35.186.224.39;TLSv1.2;97;Application Data;;;21.061066;21.083429;0.022363;-0.039118;0.061481;0.100599
3085;21.083429;35.186.224.39;192.168.1.7;TCP;56;443  >  49752 [ACK] Seq=1 Ack=44 Win=272 Len=0;;;21.083429;21.14491;0.061481;0.00651;0.054971;0.048461
